bucket,contract_id,job_title,job_amount,category,subcategory,num_opening_attachments,opening_attachment_files,num_deliverable_files,deliverable_files,has_milestones_json,has_chat_messages_json
paid,43214420,"PCB Design for ESP32 Project - Power, Main, and Sensor Boards",200.00000000,Engineering & Architecture,Electrical & Electronic Engineering,0,,80,deliverables/.DS_Store;deliverables/paid_18156583/.DS_Store;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/IoT_Environmental_Monitoring_Device_Power.kicad_pro;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/fabrication-toolkit-options.json;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/IoT_Environmental_Monitoring_Device_Power.kicad_sch;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/fp-lib-table;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/_autosave-IoT_Environmental_Monitoring_Device_Power.kicad_prl;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/IoT_Environmental_Monitoring_Device_Power.kicad_pcb;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/IoT_Environmental_Monitoring_Device_Power.kicad_prl;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/fp-info-cache;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/sym-lib-table;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/3D/IoT_Environmental_Monitoring_Device_Power.step;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/BOM/ibom.html;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.kicad_sym;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.pretty/CONN-SMD_S7B-PH-SM4-TB-LF-SN.kicad_mod;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.pretty/CONN-SMD_BM05B-GHS-TBT.kicad_mod;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.pretty/SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL.kicad_mod;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.pretty/USB-C-SMD_TYPE-C-31-M-31.kicad_mod;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.pretty/CONN-SMD_13P-P1.25_HDGC_HDGC1257WV-S-13P.kicad_mod;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.pretty/CONN-SMD_SM13B-GHS-TB-LF-SN.kicad_mod;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.pretty/SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR.kicad_mod;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.pretty/QFN-40_L5.0-W5.0-P0.40-TL-EP3.4.kicad_mod;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.pretty/CONN-SMD_SM7B-GHS-TB-LF-SN.kicad_mod;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.pretty/CONN-TH_SM03B-GHS-TB-LF-SN.kicad_mod;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.pretty/CONN-SMD_5P-P1.25_SM05B-GHS-TB-LF-SN.kicad_mod;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.pretty/L1008.kicad_mod;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.pretty/CONN-SMD_S3B-PH-SM4-TB-LF-SN.kicad_mod;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.pretty/CONN-SMD_S4B-PH-SM4-TB-LF-SN.kicad_mod;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.pretty/USB-SMD_HH-16P-TYPE-C-Y495.kicad_mod;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.pretty/USB-C-SMD_10P-P1.00-L6.8-W8.9.kicad_mod;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.pretty/CONN-TH_SM06B-GHS-TB-LF-SN.kicad_mod;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.3dshapes/CONN-SMD_SM13B-GHS-TB-LF-SN.step;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.3dshapes/CONN-SMD_BM05B-GHS-TBT.wrl;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.3dshapes/CONN-SMD_SM7B-GHS-TB-LF-SN.wrl;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.3dshapes/L1008.step;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.3dshapes/CONN-SMD_SM7B-GHS-TB-LF-SN.step;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.3dshapes/CONN-SMD_PH2.00-WS-3P.wrl;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.3dshapes/CONN-SMD_GH1.25-WS-6P.step;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.3dshapes/SOT-23-6_L2.9-W1.6-H1.5-LS2.8-P0.95.step;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.3dshapes/TYPE-C-SMD_6P-L8.9-W6.8-H3.2-P1.00.wrl;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.3dshapes/CONN-SMD_PH2.00-WS-4P.step;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.3dshapes/CONN-SMD_13P-P1.25_HDGC_HDGC1257WV-S-13P.wrl;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.3dshapes/CONN-SMD_PH2.00-WS-3P.step;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.3dshapes/SOT-23-6_L2.9-W1.6-H1.5-LS2.8-P0.95.wrl;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.3dshapes/TYPE-C-SMD_6P-L8.9-W6.8-H3.2-P1.00.step;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.3dshapes/CONN-SMD_GH1.25-WS-6P.wrl;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.3dshapes/CONN-SMD_SM13B-GHS-TB-LF-SN.wrl;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.3dshapes/CONN-SMD_GH1.25-WS-5P.step;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.3dshapes/CONN-SMD_PH2.00-WS-4P.wrl;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.3dshapes/CONN-SMD_PH2.00-WS-7P.step;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.3dshapes/L1008.wrl;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.3dshapes/CONN-SMD_PH2.00-WS-7P.wrl;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.3dshapes/CONN-SMD_GH1.25-WS-5P.wrl;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.3dshapes/QFN-40_L5.0-W5.0-H0.9-P0.4-TL-EP.wrl;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.3dshapes/USB-C-SMD_TYPE-C-31-M-31.step;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.3dshapes/CONN-SMD_BM05B-GHS-TBT.step;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.3dshapes/CONN-TH_SM03B-GHS-TB-LF-SN.step;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.3dshapes/USB-C-SMD_TYPE-C-31-M-31.wrl;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.3dshapes/CONN-TH_SM03B-GHS-TB-LF-SN.wrl;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.3dshapes/QFN-40_L5.0-W5.0-H0.9-P0.4-TL-EP.step;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/libs/easyeda/easyeda.3dshapes/CONN-SMD_13P-P1.25_HDGC_HDGC1257WV-S-13P.step;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/production/netlist.ipc;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/production/IoT_Environmental_Monitoring_Device_Power.zip;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/production/positions.csv;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/production/designators.csv;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/production/BOM.xlsx;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/Gerber/IoT_Environmental_Monitoring_Device_Power-In2_Cu.gbr;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/Gerber/IoT_Environmental_Monitoring_Device_Power-job.gbrjob;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/Gerber/IoT_Environmental_Monitoring_Device_Power-B_Silkscreen.gbr;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/Gerber/IoT_Environmental_Monitoring_Device_Power-B_Cu.gbr;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/Gerber/IoT_Environmental_Monitoring_Device_Power-PTH.drl;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/Gerber/IoT_Environmental_Monitoring_Device_Power-F_Cu.gbr;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/Gerber/IoT_Environmental_Monitoring_Device_Power-F_Paste.gbr;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/Gerber/IoT_Environmental_Monitoring_Device_Power-Edge_Cuts.gbr;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/Gerber/IoT_Environmental_Monitoring_Device_Power-F_Mask.gbr;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/Gerber/IoT_Environmental_Monitoring_Device_Power-F_Silkscreen.gbr;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/Gerber/IoT_Environmental_Monitoring_Device_Power-NPTH.drl;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/Gerber/IoT_Environmental_Monitoring_Device_Power-In1_Cu.gbr;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/Gerber/IoT_Environmental_Monitoring_Device_Power-B_Mask.gbr;deliverables/paid_18156583/IoT_Environmental_Monitoring_Device_Power/Gerber/IoT_Environmental_Monitoring_Device_Power-B_Paste.gbr,True,True
paid,43243270,Luxury Content Creator for Business Pitches and Brochures,,Design & Creative,"Graphic, Editorial & Presentation Design",0,,3,deliverables/paid_18236783/PAGE1b (1).pdf;deliverables/paid_18273232/a1.pdf;deliverables/paid_18167558/aerospace.1b.jpg,True,True
paid,43255761,Word Templates,300.00000000,Design & Creative,"Graphic, Editorial & Presentation Design",0,,5,deliverables/paid_18138778/Bestyrelsesmode_v17.docx;deliverables/paid_18138778/Bestyrelsesseminar_v17.docx;deliverables/paid_18138778/Vedledning_v17.docx;deliverables/paid_18138778/New Styles.docx;deliverables/paid_18138778/Indstilling_v14.docx,True,True
paid,43503853,Custom Beverage Mixing Device Prototype (DJ-Style Matcha Mixer),5000.00000000,"Web, Mobile & Software Dev",Web & Mobile Design,0,,4,deliverables/.DS_Store;deliverables/paid_18320810/Project BOM Finalized.pdf;deliverables/paid_18320810/Basic Wiring Overview.pdf;deliverables/paid_18320810/Order Details.pdf,True,True
paid,43531571,Graphic Novel Script Adapter Needed — Create Polished Sample for Crowdfunding,100.00000000,Writing,Content Writing,1,attachments/TOM Episode1 final.docx,1,deliverables/paid_18333497/TOM comic script sample.docx,True,True
paid,43711852,Print Designer needed — production artwork files for luxury pareo brand,200.00000000,Design & Creative,Art & Illustration,0,,0,,False,True
paid,43767619,Ambivalent Prophet Developmental Edit,4848.00000000,Writing,Editing & Proofreading Services,0,,2,deliverables/paid_18631229/1st Round Dev Edit-Ambivalent Prophet_ALW comments.docx;deliverables/paid_18718229/Ambivalent Prophet Editorial Letter_ALW.docx,True,True
paid,43772711,New SaaS Website Landing Page Design,,"Web, Mobile & Software Dev",Web & Mobile Design,0,,4,deliverables/paid_18496328/4.png;deliverables/paid_18496328/2.png;deliverables/paid_18496328/3.png;deliverables/paid_18496328/1.png,True,True
paid,43796672,Landing Page Design for New Product,5.00000000,"Web, Mobile & Software Dev",Web & Mobile Design,0,,1,deliverables/paid_18501443/new again.png,True,True
paid,43945601,Typography-Focused Designer for VELLVÉ,350.00000000,Design & Creative,"Graphic, Editorial & Presentation Design",0,,1,deliverables/paid_18709609/VELLVE45.png,True,True
paid,43948285,Design Website for our Franchise Store,150.00000000,"Web, Mobile & Software Dev",Web & Mobile Design,0,,2,deliverables/paid_18712288/screencapture-miguelmoises96-website-2-editor-wix-html-editor-web-renderer-edit-4fe2920d-8ac5-4494-bec1-69ed1da66e7d-2026-07-12-09_36_31.png;deliverables/paid_18712288/screencapture-miguelmoises96-my-site-1-editor-wix-html-editor-web-renderer-edit-aa115e6c-48a8-4f13-a89f-f86a0c07d8e9-2026-07-16-19_20_24.png,True,True
paid,43969153,Logo needed for UK start up catering company,,Design & Creative,"Graphic, Editorial & Presentation Design",0,,28,deliverables/paid_18690751/Global Dough final files/PSD/Logo-03.psd;deliverables/paid_18690751/Global Dough final files/PSD/Logo-02.psd;deliverables/paid_18690751/Global Dough final files/PSD/Logo-01.psd;deliverables/paid_18690751/Global Dough final files/PSD/Logo-04.psd;deliverables/paid_18690751/Global Dough final files/Color Codes/Color Codes.docx;deliverables/paid_18690751/Global Dough final files/PDF/Logo-04.pdf;deliverables/paid_18690751/Global Dough final files/PDF/Logo-03.pdf;deliverables/paid_18690751/Global Dough final files/PDF/Logo-02.pdf;deliverables/paid_18690751/Global Dough final files/PDF/Logo-01.pdf;deliverables/paid_18690751/Global Dough final files/PDF/Logo.pdf;deliverables/paid_18690751/Global Dough final files/Png/Logo-01.png;deliverables/paid_18690751/Global Dough final files/Png/Logo-02.png;deliverables/paid_18690751/Global Dough final files/Png/Logo-03.png;deliverables/paid_18690751/Global Dough final files/Png/Logo-04-04.png;deliverables/paid_18690751/Global Dough final files/Jpg/Logo-04.jpg;deliverables/paid_18690751/Global Dough final files/Jpg/Logo-01.jpg;deliverables/paid_18690751/Global Dough final files/Jpg/Logo-02.jpg;deliverables/paid_18690751/Global Dough final files/Jpg/Logo-03.jpg;deliverables/paid_18690751/Global Dough final files/Ai/Logo-03.ai;deliverables/paid_18690751/Global Dough final files/Ai/Logo-02.ai;deliverables/paid_18690751/Global Dough final files/Ai/Logo.ai;deliverables/paid_18690751/Global Dough final files/Ai/Logo-01.ai;deliverables/paid_18690751/Global Dough final files/Ai/Logo-04.ai;deliverables/paid_18690751/Global Dough final files/Eps/Logo.eps;deliverables/paid_18690751/Global Dough final files/Eps/Logo-04.eps;deliverables/paid_18690751/Global Dough final files/Eps/Logo-01.eps;deliverables/paid_18690751/Global Dough final files/Eps/Logo-02.eps;deliverables/paid_18690751/Global Dough final files/Eps/Logo-03.eps,True,True
paid,44027086,Visual Strategy Consultant for Nonfiction Book,600.00000000,Design & Creative,"Graphic, Editorial & Presentation Design",0,,14,deliverables/paid_18676458/Milestone_1_Visual_Strategy_Summary.docx;deliverables/paid_18676458/Chapter_2_Image_Tracker_UPDATED.xlsx;deliverables/paid_18676458/Sky_High-Chapter_3_MARKED.docx;deliverables/paid_18676458/Chapter_1_Image_Tracker_UPDATED.csv;deliverables/paid_18676458/Chapter_3_Image_Tracker_UPDATED.xlsx;deliverables/paid_18676458/Sky_High-Chapter_2_MARKED.docx;deliverables/paid_18676458/Sky_High-Chapter_1_MARKED.docx;deliverables/paid_18709292/Sky_High-Chapter_6_MARKED.docx;deliverables/paid_18709292/Chapter_5_Image_Tracker_UPDATED.xlsx;deliverables/paid_18709292/Milestone_2_Visual_Strategy_Summary.docx;deliverables/paid_18709292/Sky_High-Chapter_5_MARKED.docx;deliverables/paid_18709292/Chapter_4_Image_Tracker_UPDATED.xlsx;deliverables/paid_18709292/Chapter_6_Image_Tracker_UPDATED.xlsx;deliverables/paid_18709292/Sky_High-Chapter_4_MARKED.docx,True,True
paid,44041890,CHA2205 Charger Summit East,150.00000000,Engineering & Architecture,3D Modeling & CAD,0,,1,deliverables/paid_18678068/071126_Charger Services_Summit East.pdf,True,True
paid,44102153,I want to publish my paperback book. I am looking for an editor who can help me polish my manuscript,,Writing,Editing & Proofreading Services,0,,3,deliverables/paid_18724027/BYVTB - Final Word File.docx;deliverables/paid_18724027/Recording 2026-07-22 102028.mp4;deliverables/paid_18724027/BYVTB - Final Word File.pdf,True,True
paid,44117056,Licensed Electrical PE (NV) Needed to Review & Stamp Electrical As‑Built Drawings,,Engineering & Architecture,Electrical & Electronic Engineering,0,,1,deliverables/paid_18708984/Vegas-VA-AsBuilt_Notes (1).pdf,True,True
paid,44133873,Need Designer for Magazine Layout & Prepress Formatting,100.00000000,Design & Creative,"Graphic, Editorial & Presentation Design",0,,0,,False,True
paid,44159206,New floor plan from 6+1 to three new  1+1,30.00000000,Engineering & Architecture,Building & Landscape Architecture,5,attachments/Existing toilet tubing positions.jpg;attachments/Screenshot_20260711_091102_Multi-TIFF Viewer.jpg;attachments/Screenshot_20260711_093630_Gallery.jpg;attachments/Screenshot_20260710_152944_Adobe Acrobat.jpg;attachments/1059_19_2_mimari.png,6,deliverables/attachment_errors.txt;deliverables/paid_18737870/PLAN-02.pdf;deliverables/paid_18737870/General Floor Plan 1.pdf;deliverables/paid_18737870/General Floor Plan.rar;deliverables/paid_18740789/PLAN-01.jpg;deliverables/paid_18740789/Revision2.rar,True,True
paid,44160296,Subcontract Budget Support - Calculator & FCC,100.00000000,Accounting & Consulting,Financial Planning,0,,3,deliverables/paid_18736809/A signed-FCC_Splat_FY_2027_Subcontractor_Agreement_Form-NRC-Standard.pdf;deliverables/paid_18737525/FY 27 Subcontractor Agreement Splat Lab JHS 157 7.22.26 - UPDATED (1).pdf;deliverables/paid_18737525/FY 27 Subcontractor Agreement Splat Lab QC 7.22.26 - UPDATED (1).pdf,True,True
paid,44194756,Design screenshots for iOS app,,"Web, Mobile & Software Dev",Web & Mobile Design,0,,1,deliverables/paid_18761427/Feature Graph -Preview_no_alpha.png,True,True
unpaid_no_deliverable,37823726,"Math content designer for a game (late primary / early secondary)
",400.00000000,Engineering & Architecture,Physical Sciences,0,,0,,False,True
unpaid_no_deliverable,43424400,Crossfade Chronicles Animated Trailer,300.00000000,Design & Creative,Art & Illustration,0,,0,,False,True
unpaid_no_deliverable,43846196,Facebook Ad Account Issues,300.00000000,Accounting & Consulting,Accounting & Bookkeeping,0,,0,,False,True
unpaid_no_deliverable,44035087,"You will get WordPress Developer, WordPress Website, WordPress Designer, Website Design",300.00000000,Development & IT,Development,0,,0,,False,True
unpaid_no_deliverable,44082218,Lead Clipper to Lead a Clipper team,600.00000000,Sales & Marketing,Lead Generation & Telemarketing,0,,0,,False,True
